Device,IP,Status,Response Time,Timestamp
Google DNS,8.8.8.8,ONLINE,22.29 ms,2026-05-23 20:39:07
Cloudflare DNS,1.1.1.1,ONLINE,50.57 ms,2026-05-23 20:39:07
Google DNS,8.8.8.8,ONLINE,23.76 ms,2026-05-23 20:42:44
Cloudflare DNS,1.1.1.1,ONLINE,51.76 ms,2026-05-23 20:42:44
Google DNS,8.8.8.8,ONLINE,22.5 ms,2026-05-23 20:43:14
Cloudflare DNS,1.1.1.1,ONLINE,50.87 ms,2026-05-23 20:43:14
Google DNS,8.8.8.8,ONLINE,23.62 ms,2026-05-23 20:43:44
Cloudflare DNS,1.1.1.1,ONLINE,51.19 ms,2026-05-23 20:43:44
Google DNS,8.8.8.8,ONLINE,25.77 ms,2026-05-23 20:49:08
Cloudflare DNS,1.1.1.1,ONLINE,53.5 ms,2026-05-23 20:49:08
Google DNS,8.8.8.8,ONLINE,30.13 ms,2026-05-23 20:52:00
Cloudflare DNS,1.1.1.1,ONLINE,57.96 ms,2026-05-23 20:52:00
OpenDNS,208.67.222.222,ONLINE,57.73 ms,2026-05-23 20:52:00
Quad9 DNS,9.9.9.9,ONLINE,28.98 ms,2026-05-23 20:52:00
Cisco Router,192.168.1.1,ONLINE,18.66 ms,2026-05-23 20:52:00
Localhost,127.0.0.1,ONLINE,17.99 ms,2026-05-23 20:52:00
Google Server,142.250.183.14,ONLINE,28.54 ms,2026-05-23 20:52:00
Cloudflare Server,104.16.132.229,ONLINE,56.16 ms,2026-05-23 20:52:00
Google DNS,8.8.8.8,ONLINE,30.9 ms,2026-05-23 20:52:30
Cloudflare DNS,1.1.1.1,ONLINE,59.31 ms,2026-05-23 20:52:30
OpenDNS,208.67.222.222,ONLINE,58.81 ms,2026-05-23 20:52:30
Quad9 DNS,9.9.9.9,ONLINE,29.72 ms,2026-05-23 20:52:30
Cisco Router,192.168.1.1,ONLINE,22.87 ms,2026-05-23 20:52:30
Localhost,127.0.0.1,ONLINE,18.81 ms,2026-05-23 20:52:30
Google Server,142.250.183.14,ONLINE,30.24 ms,2026-05-23 20:52:30
Cloudflare Server,104.16.132.229,ONLINE,59.32 ms,2026-05-23 20:52:30
Google DNS,8.8.8.8,ONLINE,28.27 ms,2026-05-23 21:05:02
Cloudflare DNS,1.1.1.1,ONLINE,56.77 ms,2026-05-23 21:05:02
OpenDNS,208.67.222.222,ONLINE,56.65 ms,2026-05-23 21:05:02
Quad9 DNS,9.9.9.9,ONLINE,27.83 ms,2026-05-23 21:05:02
Cisco Router,192.168.1.1,ONLINE,17.75 ms,2026-05-23 21:05:02
Localhost,127.0.0.1,ONLINE,16.76 ms,2026-05-23 21:05:02
Google Server,142.250.183.14,ONLINE,27.05 ms,2026-05-23 21:05:02
Cloudflare Server,104.16.132.229,ONLINE,55.26 ms,2026-05-23 21:05:02
Manga Fier,192.168.100.250,OFFLINE,3857.14 ms,2026-05-23 21:05:06
Velside,192.168.29.1,OFFLINE,3856.94 ms,2026-05-23 21:05:06
Google DNS,8.8.8.8,ONLINE,33.83 ms,2026-05-23 21:05:36
Cloudflare DNS,1.1.1.1,ONLINE,61.69 ms,2026-05-23 21:05:36
OpenDNS,208.67.222.222,ONLINE,61.04 ms,2026-05-23 21:05:36
Quad9 DNS,9.9.9.9,ONLINE,33.1 ms,2026-05-23 21:05:36
Cisco Router,192.168.1.1,ONLINE,22.46 ms,2026-05-23 21:05:36
Localhost,127.0.0.1,ONLINE,21.97 ms,2026-05-23 21:05:36
Google Server,142.250.183.14,ONLINE,32.01 ms,2026-05-23 21:05:36
Cloudflare Server,104.16.132.229,ONLINE,59.42 ms,2026-05-23 21:05:36
Manga Fier,192.168.100.250,OFFLINE,3978.61 ms,2026-05-23 21:05:40
Velside,192.168.29.1,OFFLINE,3978.06 ms,2026-05-23 21:05:40
Google DNS,8.8.8.8,ONLINE,28.04 ms,2026-05-23 21:06:10
Cloudflare DNS,1.1.1.1,ONLINE,57.21 ms,2026-05-23 21:06:10
OpenDNS,208.67.222.222,ONLINE,58.15 ms,2026-05-23 21:06:10
Quad9 DNS,9.9.9.9,ONLINE,30.0 ms,2026-05-23 21:06:10
Cisco Router,192.168.1.1,ONLINE,17.75 ms,2026-05-23 21:06:10
Localhost,127.0.0.1,ONLINE,18.87 ms,2026-05-23 21:06:10
Google Server,142.250.183.14,ONLINE,25.3 ms,2026-05-23 21:06:10
Cloudflare Server,104.16.132.229,ONLINE,56.22 ms,2026-05-23 21:06:10
Manga Fier,192.168.100.250,OFFLINE,3985.65 ms,2026-05-23 21:06:14
Velside,192.168.29.1,OFFLINE,3985.39 ms,2026-05-23 21:06:14
Google DNS,8.8.8.8,ONLINE,29.91 ms,2026-05-23 21:06:44
Cloudflare DNS,1.1.1.1,ONLINE,57.22 ms,2026-05-23 21:06:44
OpenDNS,208.67.222.222,ONLINE,58.14 ms,2026-05-23 21:06:44
Quad9 DNS,9.9.9.9,ONLINE,29.23 ms,2026-05-23 21:06:44
Cisco Router,192.168.1.1,ONLINE,18.93 ms,2026-05-23 21:06:44
Localhost,127.0.0.1,ONLINE,19.03 ms,2026-05-23 21:06:44
Google Server,142.250.183.14,ONLINE,28.08 ms,2026-05-23 21:06:44
Cloudflare Server,104.16.132.229,ONLINE,56.06 ms,2026-05-23 21:06:44
Manga Fier,192.168.100.250,OFFLINE,3977.67 ms,2026-05-23 21:06:48
Velside,192.168.29.1,OFFLINE,3977.22 ms,2026-05-23 21:06:48
Google DNS,8.8.8.8,ONLINE,30.91 ms,2026-05-23 21:07:18
Cloudflare DNS,1.1.1.1,ONLINE,61.41 ms,2026-05-23 21:07:18
OpenDNS,208.67.222.222,ONLINE,61.11 ms,2026-05-23 21:07:18
Quad9 DNS,9.9.9.9,ONLINE,33.31 ms,2026-05-23 21:07:18
Cisco Router,192.168.1.1,ONLINE,22.89 ms,2026-05-23 21:07:18
Localhost,127.0.0.1,ONLINE,22.46 ms,2026-05-23 21:07:18
Google Server,142.250.183.14,ONLINE,30.98 ms,2026-05-23 21:07:18
Cloudflare Server,104.16.132.229,ONLINE,59.8 ms,2026-05-23 21:07:18
Manga Fier,192.168.100.250,OFFLINE,3979.27 ms,2026-05-23 21:07:22
Velside,192.168.29.1,OFFLINE,3979.04 ms,2026-05-23 21:07:22
Google DNS,8.8.8.8,ONLINE,30.8 ms,2026-05-23 21:07:52
Cloudflare DNS,1.1.1.1,ONLINE,58.54 ms,2026-05-23 21:07:52
OpenDNS,208.67.222.222,ONLINE,58.21 ms,2026-05-23 21:07:52
Quad9 DNS,9.9.9.9,ONLINE,29.81 ms,2026-05-23 21:07:52
Cisco Router,192.168.1.1,ONLINE,21.71 ms,2026-05-23 21:07:52
Localhost,127.0.0.1,ONLINE,18.11 ms,2026-05-23 21:07:52
Google Server,142.250.183.14,ONLINE,29.0 ms,2026-05-23 21:07:52
Cloudflare Server,104.16.132.229,ONLINE,56.99 ms,2026-05-23 21:07:52
Manga Fier,192.168.100.250,OFFLINE,3976.82 ms,2026-05-23 21:07:56
Velside,192.168.29.1,OFFLINE,3976.68 ms,2026-05-23 21:07:56
Google DNS,8.8.8.8,ONLINE,29.57 ms,2026-05-23 21:08:26
Cloudflare DNS,1.1.1.1,ONLINE,57.88 ms,2026-05-23 21:08:26
OpenDNS,208.67.222.222,ONLINE,57.6 ms,2026-05-23 21:08:26
Quad9 DNS,9.9.9.9,ONLINE,32.06 ms,2026-05-23 21:08:26
Cisco Router,192.168.1.1,ONLINE,22.62 ms,2026-05-23 21:08:26
Localhost,127.0.0.1,ONLINE,22.05 ms,2026-05-23 21:08:26
Google Server,142.250.183.14,ONLINE,31.04 ms,2026-05-23 21:08:26
Cloudflare Server,104.16.132.229,ONLINE,56.05 ms,2026-05-23 21:08:26
Manga Fier,192.168.100.250,OFFLINE,3991.73 ms,2026-05-23 21:08:30
Velside,192.168.29.1,OFFLINE,3991.17 ms,2026-05-23 21:08:30
Google DNS,8.8.8.8,ONLINE,30.08 ms,2026-05-23 21:09:00
Cloudflare DNS,1.1.1.1,ONLINE,59.68 ms,2026-05-23 21:09:00
OpenDNS,208.67.222.222,ONLINE,57.04 ms,2026-05-23 21:09:00
Quad9 DNS,9.9.9.9,ONLINE,31.09 ms,2026-05-23 21:09:00
Cisco Router,192.168.1.1,ONLINE,21.58 ms,2026-05-23 21:09:00
Localhost,127.0.0.1,ONLINE,17.98 ms,2026-05-23 21:09:00
Google Server,142.250.183.14,ONLINE,29.47 ms,2026-05-23 21:09:00
Cloudflare Server,104.16.132.229,ONLINE,57.33 ms,2026-05-23 21:09:00
Manga Fier,192.168.100.250,OFFLINE,3982.04 ms,2026-05-23 21:09:04
Velside,192.168.29.1,OFFLINE,3981.48 ms,2026-05-23 21:09:04
Google DNS,8.8.8.8,ONLINE,32.31 ms,2026-05-23 21:09:34
Cloudflare DNS,1.1.1.1,ONLINE,61.19 ms,2026-05-23 21:09:34
OpenDNS,208.67.222.222,ONLINE,58.84 ms,2026-05-23 21:09:34
Quad9 DNS,9.9.9.9,ONLINE,31.11 ms,2026-05-23 21:09:34
Cisco Router,192.168.1.1,ONLINE,20.17 ms,2026-05-23 21:09:34
Localhost,127.0.0.1,ONLINE,19.75 ms,2026-05-23 21:09:34
Google Server,142.250.183.14,ONLINE,29.64 ms,2026-05-23 21:09:34
Cloudflare Server,104.16.132.229,ONLINE,58.45 ms,2026-05-23 21:09:34
Manga Fier,192.168.100.250,OFFLINE,3974.69 ms,2026-05-23 21:09:38
Velside,192.168.29.1,OFFLINE,3974.2 ms,2026-05-23 21:09:38
Google DNS,8.8.8.8,ONLINE,29.83 ms,2026-05-23 21:10:08
Cloudflare DNS,1.1.1.1,ONLINE,59.58 ms,2026-05-23 21:10:08
OpenDNS,208.67.222.222,ONLINE,59.39 ms,2026-05-23 21:10:08
Quad9 DNS,9.9.9.9,ONLINE,29.55 ms,2026-05-23 21:10:08
Cisco Router,192.168.1.1,ONLINE,19.39 ms,2026-05-23 21:10:08
Localhost,127.0.0.1,ONLINE,18.6 ms,2026-05-23 21:10:08
Google Server,142.250.183.14,ONLINE,27.88 ms,2026-05-23 21:10:08
Cloudflare Server,104.16.132.229,ONLINE,57.61 ms,2026-05-23 21:10:08
Manga Fier,192.168.100.250,OFFLINE,3985.08 ms,2026-05-23 21:10:12
Velside,192.168.29.1,OFFLINE,3985.0 ms,2026-05-23 21:10:12
Google DNS,8.8.8.8,ONLINE,31.72 ms,2026-05-23 21:10:42
Cloudflare DNS,1.1.1.1,ONLINE,59.99 ms,2026-05-23 21:10:42
OpenDNS,208.67.222.222,ONLINE,59.74 ms,2026-05-23 21:10:42
Quad9 DNS,9.9.9.9,ONLINE,30.48 ms,2026-05-23 21:10:42
Cisco Router,192.168.1.1,ONLINE,18.88 ms,2026-05-23 21:10:42
Localhost,127.0.0.1,ONLINE,18.35 ms,2026-05-23 21:10:42
Google Server,142.250.183.14,ONLINE,29.08 ms,2026-05-23 21:10:42
Cloudflare Server,104.16.132.229,ONLINE,57.39 ms,2026-05-23 21:10:42
Manga Fier,192.168.100.250,OFFLINE,3965.73 ms,2026-05-23 21:10:46
Velside,192.168.29.1,OFFLINE,3965.21 ms,2026-05-23 21:10:46
Google DNS,8.8.8.8,ONLINE,31.76 ms,2026-05-23 21:11:16
Cloudflare DNS,1.1.1.1,ONLINE,59.3 ms,2026-05-23 21:11:16
OpenDNS,208.67.222.222,ONLINE,58.54 ms,2026-05-23 21:11:16
Quad9 DNS,9.9.9.9,ONLINE,30.4 ms,2026-05-23 21:11:16
Cisco Router,192.168.1.1,ONLINE,19.42 ms,2026-05-23 21:11:16
Localhost,127.0.0.1,ONLINE,18.44 ms,2026-05-23 21:11:16
Google Server,142.250.183.14,ONLINE,28.82 ms,2026-05-23 21:11:16
Cloudflare Server,104.16.132.229,ONLINE,55.99 ms,2026-05-23 21:11:16
Manga Fier,192.168.100.250,OFFLINE,3980.18 ms,2026-05-23 21:11:20
Velside,192.168.29.1,OFFLINE,3979.6 ms,2026-05-23 21:11:20
Google DNS,8.8.8.8,ONLINE,29.3 ms,2026-05-23 21:11:50
Cloudflare DNS,1.1.1.1,ONLINE,58.88 ms,2026-05-23 21:11:50
OpenDNS,208.67.222.222,ONLINE,58.94 ms,2026-05-23 21:11:50
Quad9 DNS,9.9.9.9,ONLINE,28.43 ms,2026-05-23 21:11:50
Cisco Router,192.168.1.1,ONLINE,18.46 ms,2026-05-23 21:11:50
Localhost,127.0.0.1,ONLINE,17.43 ms,2026-05-23 21:11:50
Google Server,142.250.183.14,ONLINE,26.37 ms,2026-05-23 21:11:50
Cloudflare Server,104.16.132.229,ONLINE,56.4 ms,2026-05-23 21:11:50
Manga Fier,192.168.100.250,OFFLINE,3979.77 ms,2026-05-23 21:11:54
Velside,192.168.29.1,OFFLINE,3979.23 ms,2026-05-23 21:11:54
Google DNS,8.8.8.8,ONLINE,30.92 ms,2026-05-23 21:12:24
Cloudflare DNS,1.1.1.1,ONLINE,59.75 ms,2026-05-23 21:12:24
OpenDNS,208.67.222.222,ONLINE,59.48 ms,2026-05-23 21:12:24
Quad9 DNS,9.9.9.9,ONLINE,29.93 ms,2026-05-23 21:12:24
Cisco Router,192.168.1.1,ONLINE,19.46 ms,2026-05-23 21:12:24
Localhost,127.0.0.1,ONLINE,18.83 ms,2026-05-23 21:12:24
Google Server,142.250.183.14,ONLINE,28.13 ms,2026-05-23 21:12:24
Cloudflare Server,104.16.132.229,ONLINE,56.87 ms,2026-05-23 21:12:24
Manga Fier,192.168.100.250,OFFLINE,3984.86 ms,2026-05-23 21:12:28
Velside,192.168.29.1,OFFLINE,3983.87 ms,2026-05-23 21:12:28
Google DNS,8.8.8.8,ONLINE,29.94 ms,2026-05-23 21:12:58
Cloudflare DNS,1.1.1.1,ONLINE,59.01 ms,2026-05-23 21:12:58
OpenDNS,208.67.222.222,ONLINE,58.85 ms,2026-05-23 21:12:58
Quad9 DNS,9.9.9.9,ONLINE,30.76 ms,2026-05-23 21:12:58
Cisco Router,192.168.1.1,ONLINE,20.31 ms,2026-05-23 21:12:58
Localhost,127.0.0.1,ONLINE,19.9 ms,2026-05-23 21:12:58
Google Server,142.250.183.14,ONLINE,29.33 ms,2026-05-23 21:12:58
Cloudflare Server,104.16.132.229,ONLINE,57.42 ms,2026-05-23 21:12:58
Manga Fier,192.168.100.250,OFFLINE,3975.48 ms,2026-05-23 21:13:02
Velside,192.168.29.1,OFFLINE,3975.19 ms,2026-05-23 21:13:02
Google DNS,8.8.8.8,ONLINE,29.51 ms,2026-05-23 21:13:32
Cloudflare DNS,1.1.1.1,ONLINE,57.37 ms,2026-05-23 21:13:32
OpenDNS,208.67.222.222,ONLINE,56.87 ms,2026-05-23 21:13:32
Quad9 DNS,9.9.9.9,ONLINE,28.18 ms,2026-05-23 21:13:32
Cisco Router,192.168.1.1,ONLINE,17.1 ms,2026-05-23 21:13:32
Localhost,127.0.0.1,ONLINE,15.53 ms,2026-05-23 21:13:32
Google Server,142.250.183.14,ONLINE,27.03 ms,2026-05-23 21:13:32
Cloudflare Server,104.16.132.229,ONLINE,54.57 ms,2026-05-23 21:13:32
Manga Fier,192.168.100.250,OFFLINE,3988.62 ms,2026-05-23 21:13:36
Velside,192.168.29.1,OFFLINE,3988.54 ms,2026-05-23 21:13:36
Google DNS,8.8.8.8,ONLINE,27.39 ms,2026-05-23 21:14:06
Cloudflare DNS,1.1.1.1,ONLINE,57.36 ms,2026-05-23 21:14:06
OpenDNS,208.67.222.222,ONLINE,56.03 ms,2026-05-23 21:14:06
Quad9 DNS,9.9.9.9,ONLINE,26.75 ms,2026-05-23 21:14:06
Cisco Router,192.168.1.1,ONLINE,17.2 ms,2026-05-23 21:14:06
Localhost,127.0.0.1,ONLINE,17.12 ms,2026-05-23 21:14:06
Google Server,142.250.183.14,ONLINE,25.82 ms,2026-05-23 21:14:06
Cloudflare Server,104.16.132.229,ONLINE,54.99 ms,2026-05-23 21:14:06
Manga Fier,192.168.100.250,OFFLINE,3978.66 ms,2026-05-23 21:14:10
Velside,192.168.29.1,OFFLINE,3978.42 ms,2026-05-23 21:14:10
Google DNS,8.8.8.8,ONLINE,26.47 ms,2026-05-23 21:14:40
Cloudflare DNS,1.1.1.1,ONLINE,56.35 ms,2026-05-23 21:14:40
OpenDNS,208.67.222.222,ONLINE,56.01 ms,2026-05-23 21:14:40
Quad9 DNS,9.9.9.9,ONLINE,27.33 ms,2026-05-23 21:14:40
Cisco Router,192.168.1.1,ONLINE,17.84 ms,2026-05-23 21:14:40
Localhost,127.0.0.1,ONLINE,16.41 ms,2026-05-23 21:14:40
Google Server,142.250.183.14,ONLINE,26.04 ms,2026-05-23 21:14:40
Cloudflare Server,104.16.132.229,ONLINE,54.5 ms,2026-05-23 21:14:40
Manga Fier,192.168.100.250,OFFLINE,3969.31 ms,2026-05-23 21:14:44
Velside,192.168.29.1,OFFLINE,3968.82 ms,2026-05-23 21:14:44
Google DNS,8.8.8.8,ONLINE,29.97 ms,2026-05-23 21:15:14
Cloudflare DNS,1.1.1.1,ONLINE,58.3 ms,2026-05-23 21:15:14
OpenDNS,208.67.222.222,ONLINE,57.9 ms,2026-05-23 21:15:14
Quad9 DNS,9.9.9.9,ONLINE,28.76 ms,2026-05-23 21:15:14
Cisco Router,192.168.1.1,ONLINE,18.26 ms,2026-05-23 21:15:14
Localhost,127.0.0.1,ONLINE,19.01 ms,2026-05-23 21:15:14
Google Server,142.250.183.14,ONLINE,27.65 ms,2026-05-23 21:15:14
Cloudflare Server,104.16.132.229,ONLINE,57.91 ms,2026-05-23 21:15:14
Manga Fier,192.168.100.250,OFFLINE,3995.83 ms,2026-05-23 21:15:18
Velside,192.168.29.1,OFFLINE,3995.27 ms,2026-05-23 21:15:18
Google DNS,8.8.8.8,ONLINE,27.43 ms,2026-05-23 21:15:48
Cloudflare DNS,1.1.1.1,ONLINE,56.89 ms,2026-05-23 21:15:48
OpenDNS,208.67.222.222,ONLINE,56.64 ms,2026-05-23 21:15:48
Quad9 DNS,9.9.9.9,ONLINE,27.87 ms,2026-05-23 21:15:48
Cisco Router,192.168.1.1,ONLINE,16.17 ms,2026-05-23 21:15:48
Localhost,127.0.0.1,ONLINE,16.01 ms,2026-05-23 21:15:48
Google Server,142.250.183.14,ONLINE,26.41 ms,2026-05-23 21:15:48
Cloudflare Server,104.16.132.229,ONLINE,55.49 ms,2026-05-23 21:15:48
Manga Fier,192.168.100.250,OFFLINE,3980.87 ms,2026-05-23 21:15:52
Velside,192.168.29.1,OFFLINE,3980.6 ms,2026-05-23 21:15:52
Google DNS,8.8.8.8,ONLINE,28.58 ms,2026-05-23 21:16:22
Cloudflare DNS,1.1.1.1,ONLINE,57.74 ms,2026-05-23 21:16:22
OpenDNS,208.67.222.222,ONLINE,57.28 ms,2026-05-23 21:16:22
Quad9 DNS,9.9.9.9,ONLINE,27.81 ms,2026-05-23 21:16:22
Cisco Router,192.168.1.1,ONLINE,18.06 ms,2026-05-23 21:16:22
Localhost,127.0.0.1,ONLINE,17.37 ms,2026-05-23 21:16:22
Google Server,142.250.183.14,ONLINE,26.49 ms,2026-05-23 21:16:22
Cloudflare Server,104.16.132.229,ONLINE,55.51 ms,2026-05-23 21:16:22
Manga Fier,192.168.100.250,OFFLINE,3980.75 ms,2026-05-23 21:16:26
Velside,192.168.29.1,OFFLINE,3980.23 ms,2026-05-23 21:16:26
Google DNS,8.8.8.8,ONLINE,28.69 ms,2026-05-23 21:16:56
Cloudflare DNS,1.1.1.1,ONLINE,57.1 ms,2026-05-23 21:16:56
OpenDNS,208.67.222.222,ONLINE,56.55 ms,2026-05-23 21:16:56
Quad9 DNS,9.9.9.9,ONLINE,27.42 ms,2026-05-23 21:16:56
Cisco Router,192.168.1.1,ONLINE,18.24 ms,2026-05-23 21:16:56
Localhost,127.0.0.1,ONLINE,16.58 ms,2026-05-23 21:16:56
Google Server,142.250.183.14,ONLINE,26.4 ms,2026-05-23 21:16:56
Cloudflare Server,104.16.132.229,ONLINE,54.95 ms,2026-05-23 21:16:56
Manga Fier,192.168.100.250,OFFLINE,3981.02 ms,2026-05-23 21:17:00
Velside,192.168.29.1,OFFLINE,3980.83 ms,2026-05-23 21:17:00
Google DNS,8.8.8.8,ONLINE,26.76 ms,2026-05-23 21:17:30
Cloudflare DNS,1.1.1.1,ONLINE,55.83 ms,2026-05-23 21:17:30
OpenDNS,208.67.222.222,ONLINE,55.36 ms,2026-05-23 21:17:30
Quad9 DNS,9.9.9.9,ONLINE,27.73 ms,2026-05-23 21:17:30
Cisco Router,192.168.1.1,ONLINE,18.1 ms,2026-05-23 21:17:30
Localhost,127.0.0.1,ONLINE,17.37 ms,2026-05-23 21:17:30
Google Server,142.250.183.14,ONLINE,25.72 ms,2026-05-23 21:17:30
Cloudflare Server,104.16.132.229,ONLINE,53.97 ms,2026-05-23 21:17:30
Manga Fier,192.168.100.250,OFFLINE,3970.28 ms,2026-05-23 21:17:34
Velside,192.168.29.1,OFFLINE,3970.17 ms,2026-05-23 21:17:34
Google DNS,8.8.8.8,ONLINE,26.66 ms,2026-05-23 21:18:04
Cloudflare DNS,1.1.1.1,ONLINE,57.34 ms,2026-05-23 21:18:04
OpenDNS,208.67.222.222,ONLINE,56.96 ms,2026-05-23 21:18:04
Quad9 DNS,9.9.9.9,ONLINE,26.98 ms,2026-05-23 21:18:04
Cisco Router,192.168.1.1,ONLINE,18.69 ms,2026-05-23 21:18:04
Localhost,127.0.0.1,ONLINE,17.84 ms,2026-05-23 21:18:04
Google Server,142.250.183.14,ONLINE,25.76 ms,2026-05-23 21:18:04
Cloudflare Server,104.16.132.229,ONLINE,54.66 ms,2026-05-23 21:18:04
Manga Fier,192.168.100.250,OFFLINE,3982.02 ms,2026-05-23 21:18:08
Velside,192.168.29.1,OFFLINE,3981.66 ms,2026-05-23 21:18:08
Google DNS,8.8.8.8,ONLINE,29.47 ms,2026-05-23 21:18:38
Cloudflare DNS,1.1.1.1,ONLINE,57.83 ms,2026-05-23 21:18:38
OpenDNS,208.67.222.222,ONLINE,57.63 ms,2026-05-23 21:18:38
Quad9 DNS,9.9.9.9,ONLINE,29.05 ms,2026-05-23 21:18:38
Cisco Router,192.168.1.1,ONLINE,17.94 ms,2026-05-23 21:18:38
Localhost,127.0.0.1,ONLINE,16.99 ms,2026-05-23 21:18:38
Google Server,142.250.183.14,ONLINE,26.82 ms,2026-05-23 21:18:38
Cloudflare Server,104.16.132.229,ONLINE,55.08 ms,2026-05-23 21:18:38
Manga Fier,192.168.100.250,OFFLINE,3976.02 ms,2026-05-23 21:18:42
Velside,192.168.29.1,OFFLINE,3975.95 ms,2026-05-23 21:18:42
Google DNS,8.8.8.8,ONLINE,30.47 ms,2026-05-23 21:19:12
Cloudflare DNS,1.1.1.1,ONLINE,58.58 ms,2026-05-23 21:19:12
OpenDNS,208.67.222.222,ONLINE,57.9 ms,2026-05-23 21:19:12
Quad9 DNS,9.9.9.9,ONLINE,29.57 ms,2026-05-23 21:19:12
Cisco Router,192.168.1.1,ONLINE,20.01 ms,2026-05-23 21:19:12
Localhost,127.0.0.1,ONLINE,19.75 ms,2026-05-23 21:19:12
Google Server,142.250.183.14,ONLINE,28.54 ms,2026-05-23 21:19:12
Cloudflare Server,104.16.132.229,ONLINE,56.47 ms,2026-05-23 21:19:12
Manga Fier,192.168.100.250,OFFLINE,3984.17 ms,2026-05-23 21:19:16
Velside,192.168.29.1,OFFLINE,3983.49 ms,2026-05-23 21:19:16
Google DNS,8.8.8.8,ONLINE,29.31 ms,2026-05-23 21:19:46
Cloudflare DNS,1.1.1.1,ONLINE,61.21 ms,2026-05-23 21:19:46
OpenDNS,208.67.222.222,ONLINE,60.79 ms,2026-05-23 21:19:46
Quad9 DNS,9.9.9.9,ONLINE,29.54 ms,2026-05-23 21:19:46
Cisco Router,192.168.1.1,ONLINE,19.69 ms,2026-05-23 21:19:46
Localhost,127.0.0.1,ONLINE,18.13 ms,2026-05-23 21:19:46
Google Server,142.250.183.14,ONLINE,28.03 ms,2026-05-23 21:19:46
Cloudflare Server,104.16.132.229,ONLINE,58.73 ms,2026-05-23 21:19:46
Manga Fier,192.168.100.250,OFFLINE,3981.86 ms,2026-05-23 21:19:50
Velside,192.168.29.1,OFFLINE,3981.37 ms,2026-05-23 21:19:50
Google DNS,8.8.8.8,ONLINE,27.28 ms,2026-05-23 21:20:20
